"chr","from","to","bkpt_in_window_ESAD","bkpt_in_window_GACA","bkpt_in_window_LIRI","bkpt_in_window_MALY","bkpt_in_window_OV","bkpt_in_window_PACA","bkpt_in_window_RECA","total_bkpt_in_window_ESAD","total_bkpt_in_window_GACA","total_bkpt_in_window_LIRI","total_bkpt_in_window_MALY","total_bkpt_in_window_OV","total_bkpt_in_window_PACA","total_bkpt_in_window_RECA","density_ESAD","density_GACA","density_LIRI","density_MALY","density_OV","density_PACA","density_RECA"
"1",15500000,1.6e+07,13,2,8,1,15,10,0,3174,846,4562,734,3418,3028,117,0.00409577819785759,0.00236406619385343,0.00175361683472161,0.00136239782016349,0.00438853130485664,0.00330250990752972,0
"1",1.6e+07,16500000,24,0,12,8,10,27,2,3174,846,4562,734,3418,3028,117,0.00756143667296786,0,0.00263042525208242,0.0108991825613079,0.00292568753657109,0.00891677675033025,0.0170940170940171
"1",1.7e+07,17500000,7,0,7,1,6,8,0,3174,846,4562,734,3418,3028,117,0.00220541902961563,0,0.00153441473038141,0.00136239782016349,0.00175541252194266,0.00264200792602378,0
"1",17500000,1.8e+07,9,4,17,0,0,10,0,3174,846,4562,734,3418,3028,117,0.00283553875236295,0.00472813238770686,0.00372643577378343,0,0,0.00330250990752972,0
"1",1.8e+07,18500000,5,0,5,0,5,8,0,3174,846,4562,734,3418,3028,117,0.0015752993068683,0,0.00109601052170101,0,0.00146284376828555,0.00264200792602378,0
"1",18500000,1.9e+07,9,2,2,1,0,9,0,3174,846,4562,734,3418,3028,117,0.00283553875236295,0.00236406619385343,0.000438404208680403,0.00136239782016349,0,0.00297225891677675,0
"1",1.9e+07,19500000,8,2,14,3,1,4,0,3174,846,4562,734,3418,3028,117,0.00252047889098929,0.00236406619385343,0.00306882946076282,0.00408719346049046,0.000292568753657109,0.00132100396301189,0
"1",19500000,2e+07,11,3,13,1,7,5,2,3174,846,4562,734,3418,3028,117,0.00346565847511027,0.00354609929078014,0.00284962735642262,0.00136239782016349,0.00204798127559977,0.00165125495376486,0.0170940170940171
"1",2e+07,20500000,7,12,7,0,3,3,2,3174,846,4562,734,3418,3028,117,0.00220541902961563,0.0141843971631206,0.00153441473038141,0,0.000877706260971328,0.000990752972258917,0.0170940170940171
"1",20500000,2.1e+07,12,1,14,0,2,4,0,3174,846,4562,734,3418,3028,117,0.00378071833648393,0.00118203309692671,0.00306882946076282,0,0.000585137507314219,0.00132100396301189,0
"1",2.1e+07,21500000,4,2,11,1,7,2,0,3174,846,4562,734,3418,3028,117,0.00126023944549464,0.00236406619385343,0.00241122314774222,0.00136239782016349,0.00204798127559977,0.000660501981505945,0
"1",21500000,2.2e+07,10,2,9,0,10,6,0,3174,846,4562,734,3418,3028,117,0.00315059861373661,0.00236406619385343,0.00197281893906182,0,0.00292568753657109,0.00198150594451783,0
